payout,asr,sharpe,sortino,std_dev,max_dd,smart_sharpe
feature_charisma24,0.05020880822987013,2.487831911680179,2.3711524326882225,91.27892127447721,0.021174854698374414,-0.0,2.2463404091245747
feature_charisma25,0.05067934840389611,2.707211409445493,2.449812128742467,289.56570470314335,0.02068703465433112,-0.0,2.2890501348888015
feature_charisma26,0.04968368850389611,2.6305226120446834,2.396390978064954,76.217658839056,0.020732713884616134,-0.0,2.238737287030642
feature_charisma27,0.050321221971428576,2.776560311976065,2.4378659603239825,144.6027992665739,0.02064150482036391,-0.0,2.266676049447913
feature_charisma28,0.04989662069870131,2.6630367214519683,2.405469217091062,107.75001942954901,0.020742988662744717,-0.0,2.2356930347618085
feature_charisma29,0.04978645280779221,2.67388926327026,2.3797264439390373,315.22440861570374,0.020921082309520958,-0.0,2.2611097150928243
feature_charisma30,0.05033258308831169,2.724255001190797,2.4158820679351622,3212.81090389883,0.020834039772202377,-0.0,2.2673321827411126
feature_charisma31,0.05029004456623377,2.796847864071349,2.4624097726720775,inf,0.020423101436793625,-0.0,2.3299184439666347
feature_charisma32,0.05035212294025974,2.794417132521375,2.437269562198028,496.1693408983285,0.02065923430104718,-0.0,2.2811954899520615
feature_charisma33,0.0501274565051948,2.6447940678102517,2.41332747596233,746.2695060899894,0.020771095926468145,-0.0,2.2637592376459663
feature_charisma34,0.04963486146623377,2.661347106386181,2.4093385619200083,122.61406025411603,0.02060103227114732,-0.0,2.253506248159981
feature_charisma35,0.05006699998701299,2.6316482100521172,2.4362383234651084,98.65012877445048,0.020550945079872866,-0.0,2.289721842489741
feature_charisma36,0.05033625970649351,2.5793742493099163,2.4074503971204813,69.15497721809895,0.020908534508831428,-0.0,2.253530164316777
feature_charisma37,0.04859902520649351,2.3827631799574536,2.2812136518308406,48.53719945953336,0.021304021728736033,-0.0,2.2022484263061073
feature_charisma38,0.05039251310389611,2.734806617970666,2.4242159599097266,31030.097202251367,0.02078713857892951,-0.0,2.281824516727154
feature_charisma39,0.05033850327272728,2.787126261248234,2.4493489475638617,inf,0.020551789210269233,-0.0,2.33114436157657
feature_charisma40,0.049195546697402594,2.5560951491752975,2.368382444711965,160.06210533867056,0.02077179165351633,-0.0,2.265245333674415
feature_charisma41,0.0503404604922078,2.818123130678659,2.439383262257574,210054.76920888707,0.020636552390549425,-0.0,2.3136118654166427
feature_charisma42,0.04941307784415585,2.596109514104258,2.3772177746839698,312.86885193694536,0.02078609640663859,-0.0,2.243363148756803
feature_charisma43,0.05008750693116883,2.6369341102436366,2.4033812377509687,188.6929855175824,0.02084043352940527,-0.0,2.234502457033091
feature_charisma44,0.05044130909740259,2.7856755328676024,2.465827699198318,1516.9837099902886,0.020456136944930058,-0.0,2.3114473745303656
feature_charisma45,0.0507106552961039,2.784105346198209,2.451935916259882,506.2613038006463,0.020681884448862996,-0.0,2.2834916445324014
feature_charisma46,0.04895234348181818,2.646424403962411,2.3110811087809187,158.10867379683978,0.02118157744261959,-0.0,2.2535348355012728
feature_charisma47,0.05074935301558442,2.731799326868112,2.460793261279488,319.8731252068933,0.020623168071094815,-0.0,2.299893037114831
feature_charisma48,0.050300509572727276,2.791203304160785,2.4257576055948364,466.2631342666453,0.020735999943569276,-0.0,2.2737479784201016
feature_charisma49,0.05058223367272727,2.8440584106311175,2.5053917639914287,175.62478790401548,0.02018935098283508,-0.0,2.341833425624724
feature_charisma50,0.049950867249350654,2.568075555130151,2.4439612583348955,131.07949920113344,0.02043848570798658,-0.0,2.2912217740301823
feature_charisma51,0.05028160783636364,2.804203819135672,2.4672512484483886,inf,0.020379605793283056,-0.0,2.3336490015062816
feature_charisma52,0.05018295451558441,2.6895580794663236,2.400623525886237,239.74411158032967,0.020904133436357285,-0.0,2.234661389066036
feature_charisma53,0.049815784016883115,2.713464099474856,2.409629466660096,199.90789861726356,0.020673628334206523,-0.0,2.24491704473041
feature_charisma54,0.048359753537662344,2.666630380530175,2.365073456988071,1246.8492664458158,0.020447463648443565,-0.0,2.2727334897066496
