payout,asr,sharpe,sortino,std_dev,max_dd,smart_sharpe
feature_charisma50,0.03722034026744186,1.8675021217004562,1.9410465365455856,7.326638005251133,0.01917539820229227,-0.011944009100000133,1.7422543506013497
feature_charisma51,0.03726567232790697,1.9228630871088894,1.958123222559588,7.767155570345196,0.019031321368629003,-0.010827763199999974,1.7573962732190787
feature_charisma52,0.037177712153488376,1.9104920245061978,1.9521129472234096,7.70474055136846,0.019044857115654165,-0.010776180299999985,1.7545206857956528
feature_charisma53,0.0372060655,1.912684642314603,1.9520344437789425,7.734729804864228,0.019060148051472287,-0.010742384600000049,1.765491427433882
feature_charisma54,0.037369489220930224,1.8836424065551995,1.9530794404532326,7.57616418914251,0.019133624801384547,-0.011208804599999931,1.7656207556360757
feature_charisma55,0.0372985677255814,1.8939743831473907,1.9487623794098459,7.567465544817943,0.01913961810822555,-0.011356438399999983,1.7484484010693162
feature_charisma56,0.03724616903023256,1.9339357735897986,1.9550126028275618,7.95228789232212,0.019051626049040763,-0.009958956999999977,1.7510380070103555
feature_charisma57,0.03724680016976744,1.8883572920721714,1.94064578423561,7.526488081489161,0.019192992596759936,-0.011320468699999937,1.7486753351735485
feature_charisma58,0.03774172739534884,1.882584172872634,1.9682789684530066,7.722385195668126,0.01917498891176611,-0.01106769279999993,1.7764050856111049
feature_charisma59,0.03727136042093024,1.9193648962285774,1.952692652703523,7.7255831675268585,0.019087161704289538,-0.01079278170000002,1.7481018956720475
feature_charisma60,0.037300529904651165,1.9170935620944718,1.9593202425419471,7.784714493646972,0.019037485090369344,-0.010904643399999973,1.7579004514144625
feature_charisma61,0.03731650809302326,1.9035690940279897,1.946893927946834,7.648486284328915,0.01916720143679153,-0.01114239910000007,1.7405117076850414
feature_charisma62,0.03715362814651163,1.9119630177777864,1.9513063463657974,7.70771763866656,0.019040387080023726,-0.010746534899999976,1.7556141557438005
feature_charisma63,0.0376562533488372,1.8838119789430823,1.9418279824518363,7.57785362465367,0.01939216742632928,-0.011307622399999995,1.7219735396018647
feature_charisma64,0.037381471113953485,1.914932685241045,1.954206573419852,7.787941370247693,0.019128720383196796,-0.010763136300000137,1.7571616369203031
feature_charisma65,0.03731491954418605,1.9291214765297497,1.9609739278330114,7.935358527580257,0.019028768824795737,-0.010112519899999953,1.7533538918098026
feature_charisma66,0.03736507312093023,1.9290999596195673,1.960175901071609,8.02771514682734,0.01906210207997308,-0.010136433800000046,1.7604445275094829
feature_charisma67,0.03724729905348837,1.9063696018124556,1.9571368187931295,7.723415691186015,0.019031525387405955,-0.010830727700000115,1.7627334106471877
feature_charisma68,0.03733180322093023,1.9118947852375519,1.9529475873167355,7.753440916876496,0.019115619622041415,-0.01076195050000002,1.7596429372885574
